no,country,category_prefix,company_en,phone,contact_note
537,Colombia,1,Innvector SAS,+57 321 2068925,1_哥伦比亚_Innvector SAS
538,Colombia,1,LED Technology Medellin,+57 302 3841183,1_哥伦比亚_LED Technology Medellin
539,Colombia,1,Smartled Colombia,+57 4557 9061,1_哥伦比亚_Smartled Colombia
540,Colombia,1,SISIC Colombia,+57 301 2249808,1_哥伦比亚_SISIC Colombia
541,Colombia,2,Logistica y Montajes Cartagena,+57 312 7590337,2_哥伦比亚_Logistica y Montajes Cartagena
542,Colombia,1,Ofimax Colombia,+57 310 2881682,1_哥伦比亚_Ofimax Colombia
543,Mexico,2,Visual Stage Mexico,+52 331 5431089,2_墨西哥_Visual Stage Mexico
544,Mexico,1,TLmedia LED Aguascalientes,+52 449 9110164,1_墨西哥_TLmedia LED Aguascalientes
545,Mexico,1,Multicorp LED Leon,+52 477 7552000,1_墨西哥_Multicorp LED Leon
546,Mexico,2,JunglaMix Producciones CDMX,+52 55 37229161,2_墨西哥_JunglaMix Producciones CDMX
547,Argentina,1,LATINLED Argentina,+54 9 11 3651-9054,1_阿根廷_LATINLED Argentina
548,Argentina,2,Imagenes del Sur,+54 9 11 51850754,2_阿根廷_Imagenes del Sur
550,Peru,2,Audilux Peru,+51 972060955,2_秘鲁_Audilux Peru
551,Argentina,2,TEHATRO Córdoba,+54 351 2359983,2_阿根廷_TEHATRO Córdoba
552,Chile,2,B7 Arriendos Chile,+56 9 6394 5128,2_智利_B7 Arriendos Chile
553,Chile,1,CABEG SPA Chile,+56 9 92291654,1_智利_CABEG SPA Chile
554,Chile,2,VIPEVEN Chile,+56 9 7188 3566,2_智利_VIPEVEN Chile
555,Argentina,2,Sidisound Argentina,+54 9 11 5581 8801,2_阿根廷_Sidisound Argentina
556,Argentina,1,Ave Fenix LEDs Bahia Blanca,+54 291 412-1109,1_阿根廷_Ave Fenix LEDs Bahia Blanca
557,Argentina,1,Jupiter LED Argentina,+54 9 11 3075-7688,1_阿根廷_Jupiter LED Argentina
558,Argentina,2,Camilo Rental Mar del Plata,+54 9 223 5837161,2_阿根廷_Camilo Rental Mar del Plata
559,Argentina,1,DV TECH Neuquen,+54 9 299 5041259,1_阿根廷_DV TECH Neuquen
560,Argentina,2,Group Effect Eventos Buenos Aires,+54 9 11 5812-9097,2_阿根廷_Group Effect Eventos Buenos Aires
561,Argentina,2,Penta Eventos Buenos Aires,+54 9 11 3949-1872,2_阿根廷_Penta Eventos Buenos Aires
731,Brazil,2,Led Midia Goiania,+55 62 98498-8484,2_巴西_Led Midia Goiania
732,Brazil,2,OFF Produtora,+55 51 98034-1515,2_巴西_OFF Produtora
734,Colombia,2,Logistica y Eventos Medellin,+57 312 759 0337,2_哥伦比亚_Logistica y Eventos Medellin
735,Colombia,2,King Productions Bogota,+57 322 445 8123,2_哥伦比亚_King Productions Bogota
739,Mexico,1,PROLED Guadalajara,+52 332-733-7524,1_墨西哥_PROLED Guadalajara
740,Mexico,2,Luas Sound Events,+52 333-476-4230,2_墨西哥_Luas Sound Events
742,Mexico,2,Troya Eventos Monterrey,+52 81 8372-6327,2_墨西哥_Troya Eventos Monterrey
743,Mexico,2,Doppmedia Puebla,+52 222 672-0113,2_墨西哥_Doppmedia Puebla
741,Mexico,2,ABK Lighting Mexico,+52 55 5517-5571,2_墨西哥_ABK Lighting Mexico
738,Mexico,2,Servittec Audiovisual,+52 55 1547-1265,2_墨西哥_Servittec Audiovisual
746,Brazil,2,Stage Audiovisual Curitiba,+55 41 99717-0279,2_巴西_Stage Audiovisual Curitiba
